时间,标题,链接
2013-06-06,关于公布2013年中南大学大学生创新创业年会情况的通知,https://bksy.csu.edu.cn/info/1062/1977.htm
2013-06-04,关于举办2013年中南大学大学生创新创业年会的通知,https://bksy.csu.edu.cn/info/1062/1971.htm
2013-06-02,关于开通创新创业年会学生项目“网络人气奖”投票系统的通知,https://bksy.csu.edu.cn/info/1062/1965.htm
2013-05-27,2013年国家级大学生创新创业训练计划立项项目公示,https://bksy.csu.edu.cn/info/1062/1956.htm
2013-05-16,关于对2012年度米塔尔学生创新创业项目资助立项项目进行,https://bksy.csu.edu.cn/info/1062/1948.htm
2013-04-18,关于对创业教育与专业教育相结合情况进行调研的通知,https://bksy.csu.edu.cn/info/1062/1927.htm
2013-04-18,关于推荐大学生创新创业教育指导教师专家库专家的通知,https://bksy.csu.edu.cn/info/1062/1926.htm
2013-04-12,关于公示2013年大学生创新创业训练计划省级创新立项项目的通知,https://bksy.csu.edu.cn/info/1062/1917.htm
2013-04-09,关于公布2011年度米塔尔学生创新创业项目资助立项项目结题验收结果的通知,https://bksy.csu.edu.cn/info/1062/1912.htm
2013-03-27,关于组织申报2013年大学生创新创业训练计划项目的通知,https://bksy.csu.edu.cn/info/1062/1903.htm
2013-03-26,关于组织大学生创新创业团队开展“创新创业沙龙”学术活动的通知,https://bksy.csu.edu.cn/info/1062/1902.htm
2013-03-22,关于公布2012年大学生创新创业训练计划项目中期检查评审结果的通知,https://bksy.csu.edu.cn/info/1062/1898.htm
2013-03-15,关于开展2011年大学生创新训练计划项目结题验收工作的通知,https://bksy.csu.edu.cn/info/1062/1888.htm
2014-04-16,关于对2012年度蔡田碹珠学生创新创业资助项目进行结题验收的通知,https://bksy.csu.edu.cn/info/1062/2210.htm
2014-03-27,关于组织申报2014年大学生创新创业训练计划项目的通知,https://bksy.csu.edu.cn/info/1062/2195.htm
2014-02-12,关于开展2012年大学生创新创业训练计划项目结题验收工作的通知,https://bksy.csu.edu.cn/info/1062/2186.htm
2014-01-18,2013年度中南大学蔡田碹珠学生创新创业资助项目立项评审结果公示,https://bksy.csu.edu.cn/info/1062/2183.htm
2014-01-07,关于在2014年寒假期间组织学生开展创新创业教育实践活动的通知,https://bksy.csu.edu.cn/info/1062/2177.htm
2013-12-31,关于公布2013年大学生创新创业训练计划项目中期检查结果及划拨第二批项目经费的通知,https://bksy.csu.edu.cn/info/1062/2173.htm
